recoveredCode;date;recoveredQuantity;recoveredTotalQuantity;nameCountry;nameDataset
Recovered-000537;2020-06-01;39;2986;Ghana;recovered_cases_africa_ncov_2020-06-16
Recovered-000538;2020-06-01;1;965;Túnez;recovered_cases_africa_ncov_2020-06-16
Recovered-000539;2020-06-01;28;482;República Democrática del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000540;2020-06-01;7;79;Uganda;recovered_cases_africa_ncov_2020-06-16
Recovered-000541;2020-06-01;115;3122;Nigeria;recovered_cases_africa_ncov_2020-06-16
Recovered-000542;2020-06-01;11;53;Guinea-Bisáu;recovered_cases_africa_ncov_2020-06-16
Recovered-000543;2020-06-01;32;1467;Costa de Marfil;recovered_cases_africa_ncov_2020-06-16
Recovered-000544;2020-06-01;21;475;Sierra Leona;recovered_cases_africa_ncov_2020-06-16
Recovered-000545;2020-06-01;5;844;Níger;recovered_cases_africa_ncov_2020-06-16
Recovered-000546;2020-06-01;6;262;Ruanda;recovered_cases_africa_ncov_2020-06-16
Recovered-000547;2020-06-01;48;539;Chad;recovered_cases_africa_ncov_2020-06-16
Recovered-000548;2020-06-01;5;194;Suazilandia;recovered_cases_africa_ncov_2020-06-16
Recovered-000549;2020-06-01;139;5893;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000550;2020-06-01;146;5894;Argelia;recovered_cases_africa_ncov_2020-06-16
Recovered-000551;2020-06-01;2;52;Libia;recovered_cases_africa_ncov_2020-06-16
Recovered-000552;2020-06-01;4;215;Togo;recovered_cases_africa_ncov_2020-06-16
Recovered-000553;2020-06-01;5;97;Mozambique;recovered_cases_africa_ncov_2020-06-16
Recovered-000554;2020-06-01;51;3629;Camerún;recovered_cases_africa_ncov_2020-06-16
Recovered-000555;2020-06-01;9;36;Mauritania;recovered_cases_africa_ncov_2020-06-16
Recovered-000556;2020-06-01;410;6447;Egipto;recovered_cases_africa_ncov_2020-06-16
Recovered-000557;2020-06-01;4;482;Kenia;recovered_cases_africa_ncov_2020-06-16
Recovered-000558;2020-06-01;28;744;Mali;recovered_cases_africa_ncov_2020-06-16
Recovered-000559;2020-06-01;13;361;Somalia;recovered_cases_africa_ncov_2020-06-16
Recovered-000560;2020-06-01;483;17291;Sudáfrica;recovered_cases_africa_ncov_2020-06-16
Recovered-000561;2020-06-01;17;1521;Yibuti;recovered_cases_africa_ncov_2020-06-16
Recovered-000562;2020-06-01;133;912;Zambia;recovered_cases_africa_ncov_2020-06-16
Recovered-000563;2020-06-01;6;174;Madagascar;recovered_cases_africa_ncov_2020-06-16
Recovered-000564;2020-06-01;8;217;Etiopía;recovered_cases_africa_ncov_2020-06-16
Recovered-000565;2020-06-01;2;16;Namibia;recovered_cases_africa_ncov_2020-06-16
Recovered-000566;2020-06-01;295;5754;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000567;2020-06-01;57;1858;Senegal;recovered_cases_africa_ncov_2020-06-16
Recovered-000568;2020-05-31;10;751;Burkina Faso;recovered_cases_africa_ncov_2020-06-16
Recovered-000569;2020-05-31;99;1522;Sudán;recovered_cases_africa_ncov_2020-06-16
Recovered-000570;2020-05-31;4;147;Benín;recovered_cases_africa_ncov_2020-06-16
Recovered-000571;2020-05-31;23;2135;Guinea;recovered_cases_africa_ncov_2020-06-16
Recovered-000572;2020-05-31;2;159;Liberia;recovered_cases_africa_ncov_2020-06-16
Recovered-000573;2020-05-31;6;454;República Democrática del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000574;2020-05-31;4;964;Túnez;recovered_cases_africa_ncov_2020-06-16
Recovered-000575;2020-05-31;106;2947;Ghana;recovered_cases_africa_ncov_2020-06-16
Recovered-000576;2020-05-31;5;27;Mauritania;recovered_cases_africa_ncov_2020-06-16
Recovered-000577;2020-05-31;151;3007;Nigeria;recovered_cases_africa_ncov_2020-06-16
Recovered-000578;2020-05-31;50;1435;Costa de Marfil;recovered_cases_africa_ncov_2020-06-16
Recovered-000579;2020-05-31;6;256;Ruanda;recovered_cases_africa_ncov_2020-06-16
Recovered-000580;2020-05-31;5;211;Togo;recovered_cases_africa_ncov_2020-06-16
Recovered-000581;2020-05-31;26;193;Cabo Verde;recovered_cases_africa_ncov_2020-06-16
Recovered-000582;2020-05-31;21;839;Níger;recovered_cases_africa_ncov_2020-06-16
Recovered-000583;2020-05-31;692;16808;Sudáfrica;recovered_cases_africa_ncov_2020-06-16
Recovered-000584;2020-05-31;1;22;Mauritania;recovered_cases_africa_ncov_2020-06-16
Recovered-000585;2020-05-31;10;3578;Camerún;recovered_cases_africa_ncov_2020-06-16
Recovered-000586;2020-05-31;344;6037;Egipto;recovered_cases_africa_ncov_2020-06-16
Recovered-000587;2020-05-31;47;5459;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000588;2020-05-31;199;5748;Argelia;recovered_cases_africa_ncov_2020-06-16
Recovered-000589;2020-05-31;21;189;Suazilandia;recovered_cases_africa_ncov_2020-06-16
Recovered-000590;2020-05-31;21;491;Chad;recovered_cases_africa_ncov_2020-06-16
Recovered-000591;2020-05-31;9;179;República del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000592;2020-05-31;218;1504;Yibuti;recovered_cases_africa_ncov_2020-06-16
Recovered-000593;2020-05-31;20;716;Mali;recovered_cases_africa_ncov_2020-06-16
Recovered-000594;2020-05-31;3;168;Madagascar;recovered_cases_africa_ncov_2020-06-16
Recovered-000595;2020-05-31;21;348;Somalia;recovered_cases_africa_ncov_2020-06-16
Recovered-000596;2020-05-31;68;454;Sierra Leona;recovered_cases_africa_ncov_2020-06-16
Recovered-000597;2020-05-31;14;478;Kenia;recovered_cases_africa_ncov_2020-06-16
Recovered-000598;2020-05-31;1;21;Botsuana;recovered_cases_africa_ncov_2020-06-16
Recovered-000599;2020-05-31;2;92;Mozambique;recovered_cases_africa_ncov_2020-06-16
Recovered-000600;2020-05-31;1;209;Etiopía;recovered_cases_africa_ncov_2020-06-16
Recovered-000601;2020-05-31;40;1801;Senegal;recovered_cases_africa_ncov_2020-06-16
Recovered-000602;2020-05-31;11;5412;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000603;2020-05-30;6;741;Burkina Faso;recovered_cases_africa_ncov_2020-06-16
Recovered-000604;2020-05-30;151;1423;Sudán;recovered_cases_africa_ncov_2020-06-16
Recovered-000605;2020-05-30;82;2112;Guinea;recovered_cases_africa_ncov_2020-06-16
Recovered-000606;2020-05-30;127;3568;Camerún;recovered_cases_africa_ncov_2020-06-16
Recovered-000607;2020-05-30;10;960;Túnez;recovered_cases_africa_ncov_2020-06-16
Recovered-000608;2020-05-30;9;157;Liberia;recovered_cases_africa_ncov_2020-06-16
Recovered-000609;2020-05-30;301;2841;Ghana;recovered_cases_africa_ncov_2020-06-16
Recovered-000610;2020-05-30;20;448;República Democrática del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000611;2020-05-30;13;722;Gabón;recovered_cases_africa_ncov_2020-06-16
Recovered-000612;2020-05-30;159;2856;Nigeria;recovered_cases_africa_ncov_2020-06-16
Recovered-000613;2020-05-30;4;206;Togo;recovered_cases_africa_ncov_2020-06-16
Recovered-000614;2020-05-30;15;1385;Costa de Marfil;recovered_cases_africa_ncov_2020-06-16
Recovered-000615;2020-05-30;3;250;Ruanda;recovered_cases_africa_ncov_2020-06-16
Recovered-000616;2020-05-30;5;818;Níger;recovered_cases_africa_ncov_2020-06-16
Recovered-000617;2020-05-30;1023;16116;Sudáfrica;recovered_cases_africa_ncov_2020-06-16
Recovered-000618;2020-05-30;24;5401;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000619;2020-05-30;182;5693;Egipto;recovered_cases_africa_ncov_2020-06-16
Recovered-000620;2020-05-30;9;50;Libia;recovered_cases_africa_ncov_2020-06-16
Recovered-000621;2020-05-30;12;167;Cabo Verde;recovered_cases_africa_ncov_2020-06-16
Recovered-000622;2020-05-30;26;470;Chad;recovered_cases_africa_ncov_2020-06-16
Recovered-000623;2020-05-30;127;5549;Argelia;recovered_cases_africa_ncov_2020-06-16
Recovered-000624;2020-05-30;119;2540;Ghana;recovered_cases_africa_ncov_2020-06-16
Recovered-000625;2020-05-30;6;90;Mozambique;recovered_cases_africa_ncov_2020-06-16
Recovered-000626;2020-05-30;26;464;Kenia;recovered_cases_africa_ncov_2020-06-16
Recovered-000627;2020-05-30;17;327;Somalia;recovered_cases_africa_ncov_2020-06-16
Recovered-000628;2020-05-30;27;696;Mali;recovered_cases_africa_ncov_2020-06-16
Recovered-000629;2020-05-30;1;165;Madagascar;recovered_cases_africa_ncov_2020-06-16
Recovered-000630;2020-05-30;17;208;Etiopía;recovered_cases_africa_ncov_2020-06-16
Recovered-000631;2020-05-30;106;5377;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000632;2020-05-30;23;1761;Senegal;recovered_cases_africa_ncov_2020-06-16
Recovered-000633;2020-05-29;7;143;Benín;recovered_cases_africa_ncov_2020-06-16
Recovered-000634;2020-05-29;30;2030;Guinea;recovered_cases_africa_ncov_2020-06-16
Recovered-000635;2020-05-29;456;1272;Sudán;recovered_cases_africa_ncov_2020-06-16
Recovered-000636;2020-05-29;4;950;Túnez;recovered_cases_africa_ncov_2020-06-16
Recovered-000637;2020-05-29;2;148;Liberia;recovered_cases_africa_ncov_2020-06-16
Recovered-000638;2020-05-29;45;1286;Yibuti;recovered_cases_africa_ncov_2020-06-16
Recovered-000639;2020-05-29;1;29;Zimbabue;recovered_cases_africa_ncov_2020-06-16
Recovered-000640;2020-05-29;1445;3441;Camerún;recovered_cases_africa_ncov_2020-06-16
Recovered-000641;2020-05-29;28;428;República Democrática del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000642;2020-05-29;5;202;Togo;recovered_cases_africa_ncov_2020-06-16
Recovered-000643;2020-05-29;105;2697;Nigeria;recovered_cases_africa_ncov_2020-06-16
Recovered-000644;2020-05-29;41;709;Gabón;recovered_cases_africa_ncov_2020-06-16
Recovered-000645;2020-05-29;3;72;Uganda;recovered_cases_africa_ncov_2020-06-16
Recovered-000646;2020-05-29;10;813;Níger;recovered_cases_africa_ncov_2020-06-16
Recovered-000647;2020-05-29;44;1370;Costa de Marfil;recovered_cases_africa_ncov_2020-06-16
Recovered-000648;2020-05-29;2;84;Mozambique;recovered_cases_africa_ncov_2020-06-16
Recovered-000649;2020-05-29;723;15093;Sudáfrica;recovered_cases_africa_ncov_2020-06-16
Recovered-000650;2020-05-29;6;21;Mauritania;recovered_cases_africa_ncov_2020-06-16
Recovered-000651;2020-05-29;48;5271;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000652;2020-05-29;145;5422;Argelia;recovered_cases_africa_ncov_2020-06-16
Recovered-000653;2020-05-29;10;164;Madagascar;recovered_cases_africa_ncov_2020-06-16
Recovered-000654;2020-05-29;31;444;Chad;recovered_cases_africa_ncov_2020-06-16
Recovered-000655;2020-05-29;152;5511;Egipto;recovered_cases_africa_ncov_2020-06-16
Recovered-000656;2020-05-29;2;247;Ruanda;recovered_cases_africa_ncov_2020-06-16
Recovered-000657;2020-05-29;17;669;Mali;recovered_cases_africa_ncov_2020-06-16
Recovered-000658;2020-05-29;35;200;Guinea Ecuatorial;recovered_cases_africa_ncov_2020-06-16
Recovered-000659;2020-05-29;25;386;Sierra Leona;recovered_cases_africa_ncov_2020-06-16
Recovered-000660;2020-05-29;17;438;Kenia;recovered_cases_africa_ncov_2020-06-16
Recovered-000661;2020-05-28;6;735;Burkina Faso;recovered_cases_africa_ncov_2020-06-16
Recovered-000662;2020-05-28;13;33;Burundi;recovered_cases_africa_ncov_2020-06-16
Recovered-000663;2020-05-28;9;729;Burkina Faso;recovered_cases_africa_ncov_2020-06-16
Recovered-000664;2020-05-28;2;136;Benín;recovered_cases_africa_ncov_2020-06-16
Recovered-000665;2020-05-28;1;20;Gambia;recovered_cases_africa_ncov_2020-06-16
Recovered-000666;2020-05-28;50;2000;Guinea;recovered_cases_africa_ncov_2020-06-16
Recovered-000667;2020-05-28;2;26;Comoras;recovered_cases_africa_ncov_2020-06-16
Recovered-000668;2020-05-28;9;170;República del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000669;2020-05-28;2;146;Liberia;recovered_cases_africa_ncov_2020-06-16
Recovered-000670;2020-05-28;8;946;Túnez;recovered_cases_africa_ncov_2020-06-16
Recovered-000671;2020-05-28;9;2421;Ghana;recovered_cases_africa_ncov_2020-06-16
Recovered-000672;2020-05-28;64;361;Sierra Leona;recovered_cases_africa_ncov_2020-06-16
Recovered-000673;2020-05-28;28;5223;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000674;2020-05-28;52;1738;Senegal;recovered_cases_africa_ncov_2020-06-16
Recovered-000675;2020-05-28;24;1326;Costa de Marfil;recovered_cases_africa_ncov_2020-06-16
Recovered-000676;2020-05-28;19;400;República Democrática del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000677;2020-05-28;37;668;Gabón;recovered_cases_africa_ncov_2020-06-16
Recovered-000678;2020-05-28;3;28;Zimbabue;recovered_cases_africa_ncov_2020-06-16
Recovered-000679;2020-05-28;91;2592;Nigeria;recovered_cases_africa_ncov_2020-06-16
Recovered-000680;2020-05-28;919;14370;Sudáfrica;recovered_cases_africa_ncov_2020-06-16
Recovered-000681;2020-05-28;154;5359;Egipto;recovered_cases_africa_ncov_2020-06-16
Recovered-000682;2020-05-28;1;41;Libia;recovered_cases_africa_ncov_2020-06-16
Recovered-000683;2020-05-28;7;803;Níger;recovered_cases_africa_ncov_2020-06-16
Recovered-000684;2020-05-28;14;197;Togo;recovered_cases_africa_ncov_2020-06-16
Recovered-000685;2020-05-28;3;154;Madagascar;recovered_cases_africa_ncov_2020-06-16
Recovered-000686;2020-05-28;86;5195;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000687;2020-05-28;11;82;Mozambique;recovered_cases_africa_ncov_2020-06-16
Recovered-000688;2020-05-28;148;5277;Argelia;recovered_cases_africa_ncov_2020-06-16
Recovered-000689;2020-05-28;5;42;Malaui;recovered_cases_africa_ncov_2020-06-16
Recovered-000690;2020-05-28;54;413;Chad;recovered_cases_africa_ncov_2020-06-16
Recovered-000691;2020-05-28;45;310;Somalia;recovered_cases_africa_ncov_2020-06-16
Recovered-000692;2020-05-28;20;652;Mali;recovered_cases_africa_ncov_2020-06-16
Recovered-000693;2020-05-28;56;1241;Yibuti;recovered_cases_africa_ncov_2020-06-16
Recovered-000694;2020-05-28;13;421;Kenia;recovered_cases_africa_ncov_2020-06-16
Recovered-000695;2020-05-28;100;1686;Senegal;recovered_cases_africa_ncov_2020-06-16
Recovered-000696;2020-05-28;10;191;Etiopía;recovered_cases_africa_ncov_2020-06-16
Recovered-000697;2020-05-28;131;5109;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000698;2020-05-27;67;816;Sudán;recovered_cases_africa_ncov_2020-06-16
Recovered-000699;2020-05-27;1;720;Burkina Faso;recovered_cases_africa_ncov_2020-06-16
Recovered-000700;2020-05-27;55;1950;Guinea;recovered_cases_africa_ncov_2020-06-16
Recovered-000701;2020-05-27;1;1;Lesoto;recovered_cases_africa_ncov_2020-06-16
Recovered-000702;2020-05-27;9;938;Túnez;recovered_cases_africa_ncov_2020-06-16
Recovered-000703;2020-05-27;16;381;República Democrática del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000704;2020-05-27;4;297;Sierra Leona;recovered_cases_africa_ncov_2020-06-16
Recovered-000705;2020-05-27;38;631;Gabón;recovered_cases_africa_ncov_2020-06-16
Recovered-000706;2020-05-27;95;2412;Ghana;recovered_cases_africa_ncov_2020-06-16
Recovered-000707;2020-05-27;116;2501;Nigeria;recovered_cases_africa_ncov_2020-06-16
Recovered-000708;2020-05-27;3;24;Comoras;recovered_cases_africa_ncov_2020-06-16
Recovered-000709;2020-05-27;16;1302;Costa de Marfil;recovered_cases_africa_ncov_2020-06-16
Recovered-000710;2020-05-27;6;183;Togo;recovered_cases_africa_ncov_2020-06-16
Recovered-000711;2020-05-27;710;13451;Sudáfrica;recovered_cases_africa_ncov_2020-06-16
Recovered-000712;2020-05-27;178;5205;Egipto;recovered_cases_africa_ncov_2020-06-16
Recovered-000713;2020-05-27;56;359;Chad;recovered_cases_africa_ncov_2020-06-16
Recovered-000714;2020-05-27;9;4978;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000715;2020-05-27;4;151;Madagascar;recovered_cases_africa_ncov_2020-06-16
Recovered-000716;2020-05-27;1;245;Ruanda;recovered_cases_africa_ncov_2020-06-16
Recovered-000717;2020-05-27;4;168;Suazilandia;recovered_cases_africa_ncov_2020-06-16
Recovered-000718;2020-05-27;211;5129;Argelia;recovered_cases_africa_ncov_2020-06-16
Recovered-000719;2020-05-27;443;779;Zambia;recovered_cases_africa_ncov_2020-06-16
Recovered-000720;2020-05-27;106;1185;Yibuti;recovered_cases_africa_ncov_2020-06-16
Recovered-000721;2020-05-27;12;265;Somalia;recovered_cases_africa_ncov_2020-06-16
Recovered-000722;2020-05-27;15;632;Mali;recovered_cases_africa_ncov_2020-06-16
Recovered-000723;2020-05-27;3;408;Kenia;recovered_cases_africa_ncov_2020-06-16
Recovered-000724;2020-05-27;88;4969;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000725;2020-05-27;21;1586;Senegal;recovered_cases_africa_ncov_2020-06-16
Recovered-000726;2020-05-27;14;181;Etiopía;recovered_cases_africa_ncov_2020-06-16
Recovered-000727;2020-05-26;14;719;Burkina Faso;recovered_cases_africa_ncov_2020-06-16
Recovered-000728;2020-05-26;161;749;Sudán;recovered_cases_africa_ncov_2020-06-16
Recovered-000729;2020-05-26;112;1895;Guinea;recovered_cases_africa_ncov_2020-06-16
Recovered-000730;2020-05-26;1;19;Gambia;recovered_cases_africa_ncov_2020-06-16
Recovered-000731;2020-05-26;1;23;República Centroafricana;recovered_cases_africa_ncov_2020-06-16
Recovered-000732;2020-05-26;16;134;Benín;recovered_cases_africa_ncov_2020-06-16
Recovered-000733;2020-05-26;220;2317;Ghana;recovered_cases_africa_ncov_2020-06-16
Recovered-000734;2020-05-26;25;365;República Democrática del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000735;2020-05-26;29;1286;Costa de Marfil;recovered_cases_africa_ncov_2020-06-16
Recovered-000736;2020-05-26;74;2385;Nigeria;recovered_cases_africa_ncov_2020-06-16
Recovered-000737;2020-05-26;31;593;Gabón;recovered_cases_africa_ncov_2020-06-16
Recovered-000738;2020-05-26;64;68;Santo Tomé y Príncipe;recovered_cases_africa_ncov_2020-06-16
Recovered-000739;2020-05-26;16;177;Togo;recovered_cases_africa_ncov_2020-06-16
Recovered-000740;2020-05-26;1;69;Uganda;recovered_cases_africa_ncov_2020-06-16
Recovered-000741;2020-05-26;824;12741;Sudáfrica;recovered_cases_africa_ncov_2020-06-16
Recovered-000742;2020-05-26;10;796;Níger;recovered_cases_africa_ncov_2020-06-16
Recovered-000743;2020-05-26;79;1996;Camerún;recovered_cases_africa_ncov_2020-06-16
Recovered-000744;2020-05-26;4;37;Malaui;recovered_cases_africa_ncov_2020-06-16
Recovered-000745;2020-05-26;59;303;Chad;recovered_cases_africa_ncov_2020-06-16
Recovered-000746;2020-05-26;1;18;Gambia;recovered_cases_africa_ncov_2020-06-16
Recovered-000747;2020-05-26;107;4881;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000748;2020-05-26;6;244;Ruanda;recovered_cases_africa_ncov_2020-06-16
Recovered-000749;2020-05-26;6;164;Suazilandia;recovered_cases_africa_ncov_2020-06-16
Recovered-000750;2020-05-26;171;4918;Argelia;recovered_cases_africa_ncov_2020-06-16
Recovered-000751;2020-05-26;127;5027;Egipto;recovered_cases_africa_ncov_2020-06-16
Recovered-000752;2020-05-26;6;161;República del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000753;2020-05-26;18;253;Somalia;recovered_cases_africa_ncov_2020-06-16
Recovered-000754;2020-05-26;3;405;Kenia;recovered_cases_africa_ncov_2020-06-16
Recovered-000755;2020-05-26;13;617;Mali;recovered_cases_africa_ncov_2020-06-16
Recovered-000756;2020-05-26;50;1565;Senegal;recovered_cases_africa_ncov_2020-06-16
Recovered-000757;2020-05-26;8;167;Etiopía;recovered_cases_africa_ncov_2020-06-16
Recovered-000758;2020-05-25;7;705;Burkina Faso;recovered_cases_africa_ncov_2020-06-16
Recovered-000759;2020-05-25;10;929;Túnez;recovered_cases_africa_ncov_2020-06-16
Recovered-000760;2020-05-25;85;588;Sudán;recovered_cases_africa_ncov_2020-06-16
Recovered-000761;2020-05-25;82;1783;Guinea;recovered_cases_africa_ncov_2020-06-16
Recovered-000762;2020-05-25;27;2097;Ghana;recovered_cases_africa_ncov_2020-06-16
Recovered-000763;2020-05-25;3;144;Liberia;recovered_cases_africa_ncov_2020-06-16
Recovered-000764;2020-05-25;2;919;Túnez;recovered_cases_africa_ncov_2020-06-16
Recovered-000765;2020-05-25;3;340;República Democrática del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000766;2020-05-25;34;118;Benín;recovered_cases_africa_ncov_2020-06-16
Recovered-000767;2020-05-25;7;604;Mali;recovered_cases_africa_ncov_2020-06-16
Recovered-000768;2020-05-25;48;2311;Nigeria;recovered_cases_africa_ncov_2020-06-16
Recovered-000769;2020-05-25;103;562;Gabón;recovered_cases_africa_ncov_2020-06-16
Recovered-000770;2020-05-25;20;161;Togo;recovered_cases_africa_ncov_2020-06-16
Recovered-000771;2020-05-25;38;1257;Costa de Marfil;recovered_cases_africa_ncov_2020-06-16
Recovered-000772;2020-05-25;3;786;Níger;recovered_cases_africa_ncov_2020-06-16
Recovered-000773;2020-05-25;37;4774;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000774;2020-05-25;1;238;Ruanda;recovered_cases_africa_ncov_2020-06-16
Recovered-000775;2020-05-25;29;244;Chad;recovered_cases_africa_ncov_2020-06-16
Recovered-000776;2020-05-25;817;11917;Sudáfrica;recovered_cases_africa_ncov_2020-06-16
Recovered-000777;2020-05-25;52;1917;Camerún;recovered_cases_africa_ncov_2020-06-16
Recovered-000778;2020-05-25;20;71;Mozambique;recovered_cases_africa_ncov_2020-06-16
Recovered-000779;2020-05-25;93;4900;Egipto;recovered_cases_africa_ncov_2020-06-16
Recovered-000780;2020-05-25;169;4747;Argelia;recovered_cases_africa_ncov_2020-06-16
Recovered-000781;2020-05-25;2;158;Suazilandia;recovered_cases_africa_ncov_2020-06-16
Recovered-000782;2020-05-25;15;1079;Yibuti;recovered_cases_africa_ncov_2020-06-16
Recovered-000783;2020-05-25;1;20;Botsuana;recovered_cases_africa_ncov_2020-06-16
Recovered-000784;2020-05-25;19;402;Kenia;recovered_cases_africa_ncov_2020-06-16
Recovered-000785;2020-05-25;52;293;Sierra Leona;recovered_cases_africa_ncov_2020-06-16
Recovered-000786;2020-05-25;31;235;Somalia;recovered_cases_africa_ncov_2020-06-16
Recovered-000787;2020-05-25;8;155;República del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000788;2020-05-25;5;147;Madagascar;recovered_cases_africa_ncov_2020-06-16
Recovered-000789;2020-05-25;7;159;Etiopía;recovered_cases_africa_ncov_2020-06-16
Recovered-000790;2020-05-25;59;1515;Senegal;recovered_cases_africa_ncov_2020-06-16
Recovered-000791;2020-05-25;34;4737;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000792;2020-05-24;8;698;Burkina Faso;recovered_cases_africa_ncov_2020-06-16
Recovered-000793;2020-05-24;45;503;Sudán;recovered_cases_africa_ncov_2020-06-16
Recovered-000794;2020-05-24;28;1701;Guinea;recovered_cases_africa_ncov_2020-06-16
Recovered-000795;2020-05-24;4;17;Gambia;recovered_cases_africa_ncov_2020-06-16
Recovered-000796;2020-05-24;3;917;Túnez;recovered_cases_africa_ncov_2020-06-16
Recovered-000797;2020-05-24;2;141;Liberia;recovered_cases_africa_ncov_2020-06-16
Recovered-000798;2020-05-24;11;241;Sierra Leona;recovered_cases_africa_ncov_2020-06-16
Recovered-000799;2020-05-24;43;1865;Camerún;recovered_cases_africa_ncov_2020-06-16
Recovered-000800;2020-05-24;72;2070;Ghana;recovered_cases_africa_ncov_2020-06-16
Recovered-000801;2020-05-24;2;84;Benín;recovered_cases_africa_ncov_2020-06-16
Recovered-000802;2020-05-24;20;337;República Democrática del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000803;2020-05-24;5;33;Malaui;recovered_cases_africa_ncov_2020-06-16
Recovered-000804;2020-05-24;31;1219;Costa de Marfil;recovered_cases_africa_ncov_2020-06-16
Recovered-000805;2020-05-24;10;147;República del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000806;2020-05-24;13;155;Cabo Verde;recovered_cases_africa_ncov_2020-06-16
Recovered-000807;2020-05-24;89;2263;Nigeria;recovered_cases_africa_ncov_2020-06-16
Recovered-000808;2020-05-24;2;25;Zimbabue;recovered_cases_africa_ncov_2020-06-16
Recovered-000809;2020-05-24;9;15;Mauritania;recovered_cases_africa_ncov_2020-06-16
Recovered-000810;2020-05-24;8;141;Togo;recovered_cases_africa_ncov_2020-06-16
Recovered-000811;2020-05-24;8;783;Níger;recovered_cases_africa_ncov_2020-06-16
Recovered-000812;2020-05-24;996;11100;Sudáfrica;recovered_cases_africa_ncov_2020-06-16
Recovered-000813;2020-05-24;179;4807;Egipto;recovered_cases_africa_ncov_2020-06-16
Recovered-000814;2020-05-24;37;156;Suazilandia;recovered_cases_africa_ncov_2020-06-16
Recovered-000815;2020-05-24;3;139;Liberia;recovered_cases_africa_ncov_2020-06-16
Recovered-000816;2020-05-24;152;4578;Argelia;recovered_cases_africa_ncov_2020-06-16
Recovered-000817;2020-05-24;10;237;Ruanda;recovered_cases_africa_ncov_2020-06-16
Recovered-000818;2020-05-24;17;4703;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000819;2020-05-24;1;40;Libia;recovered_cases_africa_ncov_2020-06-16
Recovered-000820;2020-05-24;11;215;Chad;recovered_cases_africa_ncov_2020-06-16
Recovered-000821;2020-05-24;3;383;Kenia;recovered_cases_africa_ncov_2020-06-16
Recovered-000822;2020-05-24;23;597;Mali;recovered_cases_africa_ncov_2020-06-16
Recovered-000823;2020-05-24;4;142;Madagascar;recovered_cases_africa_ncov_2020-06-16
Recovered-000824;2020-05-24;40;1456;Senegal;recovered_cases_africa_ncov_2020-06-16
Recovered-000825;2020-05-24;1;152;Etiopía;recovered_cases_africa_ncov_2020-06-16
Recovered-000826;2020-05-24;48;4686;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000827;2020-05-23;7;690;Burkina Faso;recovered_cases_africa_ncov_2020-06-16
Recovered-000828;2020-05-23;42;1673;Guinea;recovered_cases_africa_ncov_2020-06-16
Recovered-000829;2020-05-23;34;458;Sudán;recovered_cases_africa_ncov_2020-06-16
Recovered-000830;2020-05-23;3;21;Comoras;recovered_cases_africa_ncov_2020-06-16
Recovered-000831;2020-05-23;4;22;República Centroafricana;recovered_cases_africa_ncov_2020-06-16
Recovered-000832;2020-05-23;21;82;Benín;recovered_cases_africa_ncov_2020-06-16
Recovered-000833;2020-05-23;130;1822;Camerún;recovered_cases_africa_ncov_2020-06-16
Recovered-000834;2020-05-23;20;1998;Ghana;recovered_cases_africa_ncov_2020-06-16
Recovered-000835;2020-05-23;11;914;Túnez;recovered_cases_africa_ncov_2020-06-16
Recovered-000836;2020-05-23;167;2174;Nigeria;recovered_cases_africa_ncov_2020-06-16
Recovered-000837;2020-05-23;5;317;República Democrática del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000838;2020-05-23;5;23;Zimbabue;recovered_cases_africa_ncov_2020-06-16
